,,,,,,,,,,
,Caliper,VC-12,*VC-12*,A22196560,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-13,*VC-13*,A22196558,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-14,*VC-14*,-,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-15,*VC-15*,-,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-16,*VC-16*,-,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-17,*VC-17*,-,Functioning,,AMTEC UPLB,,OFFICE,
,Camera,CAM-01,*CAM-01*,C2281327426901,Functioning,,AMTEC UPLB,,OFFICE,
,Camera,CAM-02,*CAM-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Camera,"CAM-03A
CAM-03B
CAM-03C
CAM-03D
CAM-03E","*CAM-03A
CAM-03B
CAM-03C
CAM-03D
CAM-03E*",,Functioning,,AMTEC UPLB,,OFFICE,
,Camera,CAM-04,*CAM-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Camera,CAM-05,*CAM-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Camera,CAM-06,*CAM-06*,,Functioning,,AMTEC UPLB,,OFFICE,
,Camera,CAM-07,*CAM-07*,,Functioning,,AMTEC UPLB,,OFFICE,
,Combustion Analyzer,CA-01,*CA-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Depth Gauge,DG-01,*DG-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dissolved Oxygen Meter,DOM-01,*DOM-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Drop Cone Penetrometer,DCP-01,*DCP-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Drop Cone Penetrometer,DCP-02,*DCP-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Flexible Curve Ruler,FCR-01,*FCR-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Flue Gas Analyzer,FGA-01,*FGA-01*,7240,Functioning,,AMTEC UPLB,,OFFICE,
,Flue Gas Analyzer,FGA-02,*FGA-02*,7445,Functioning,,AMTEC UPLB,,OFFICE,
,Flue Gas Analyzer,FGA-03,*FGA-03*,7444,Functioning,,AMTEC UPLB,,OFFICE,
,Global Positioning System Map,GPS-01,*GPS-01*,3BP544414,Functioning,,AMTEC UPLB,,OFFICE,
,Global Positioning System Map,GPS-02,*GPS-02*,3BP544399,Functioning,,AMTEC UPLB,,OFFICE,
,Global Positioning System Map,GPS-03,*GPS-03*,3BP544404,Functioning,,AMTEC UPLB,,OFFICE,
,Global Positioning System Map,GPS-04,*GPS-04*,574005972,Functioning,,AMTEC UPLB,,FCP,
,Global Positioning System Map,GPS-05,*GPS-05*,574005971,Functioning,,AMTEC UPLB,for retagging,OFFICE,
,Global Positioning System Map,GPS-06,*GPS-06*,574005969,Functioning,,AMTEC UPLB,,OFFICE,
,Global Positioning System Map,GPS-07,*GPS-07*,574005967,Functioning,,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-01,*GC-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-02,*GC-02*,,Functioning,2L,AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-03,*GC-03*,,Functioning,"1L, White, new",AMTEC UPLB,for retagging,OFFICE,
,Graduated Cylinder,GC-04,*GC-04*,,Functioning,"1L, with stand",AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-05,*GC-05*,,Functioning,"1L, stout",AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-06,*GC-06*,,Functioning,"1L, no stand",AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-07,*GC-07*,,Functioning,"500 ml, with stand",AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-08,*GC-08*,,Functioning,"500 ml, no stand",AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-09,*GC-09*,,Functioning,250 ml,AMTEC UPLB,,OFFICE,
